Intents,Text
i_am_not_able_to_see_my_direct_reportees,i am not able to see my direct reportees
i_am_not_able_to_see_my_direct_reportees,I cannot see my direct reportees
i_am_not_able_to_see_my_direct_reportees,I cant see my direct reportees
i_am_not_able_to_see_my_direct_reportees,my direct reportees are not visible to me
i_am_not_able_to_see_my_direct_reportees,I can not view my direct reportees
i_am_not_able_to_see_my_direct_reportees,I am not able to see reportees which are directly reporting to me
i_am_not_able_to_see_my_direct_reportees,I cant see reportees which are directly reporting to me
i_am_not_able_to_see_my_direct_reportees,I can not spot reportees which are directly reporting to me
i_am_not_able_to_see_my_direct_reportees,reportees which are directly reporting to me are not visible to me
i_am_not_able_to_see_my_direct_reportees,i am not able to spot my direct reportees
i_am_not_able_to_see_my_direct_reportees,i am not able to view my direct reportees
bot_greets_thank_you,i appreciate your feedback
bot_greets_thank_you,i really grateful for your help
bot_greets_thank_you,thank you
bot_greets_thank_you,it means a lot
bot_greets_thank_you,thank you for guidance
bot_greets_thank_you,thanks
bot_greets_thank_you,i am grateful for your assistance
bot_greets_thank_you,thank you for prompt reply
bot_greets_thank_you,thanks for having my back
bot_greets_thank_you,i really want to thank you for help
bot_greets_thank_you,thanks so much
bot_greets_thank_you,thanks a million
bot_greets_thank_you,thank you for your time
bot_greets_thank_you,this means a lot to me
bot_greets_thank_you,thanks for explaining this to me
bot_greets_thank_you,thank you for your favour
bot_greets_thank_you,how thoughtful of you
bot_greets_thank_you,thank you for taking some time
bot_greets_thank_you,you made my day
bot_greets_thank_you,i really appreciate everything you have done
bot_greets_thank_you,i owe you one
bot_greets_thank_you,thanks for being a great help
not_showing_in_my_work_application,not showing in my work application
not_showing_in_my_work_application,Features created in Rational is not showing in My work application
not_showing_in_my_work_application,Feature created in Rational is not showing in My work application
not_showing_in_my_work_application,Features created in JIRA is not showing in My work application
not_showing_in_my_work_application,Feature created in JIRA is not showing in My work application
not_showing_in_my_work_application,Work item created in Rational is not showing in My work application
not_showing_in_my_work_application,Work Item created in JIRA is not showing in My work application
not_showing_in_my_work_application,Features which are created in Rational are not visible in My work application
not_showing_in_my_work_application,Features which are created in jira is not visible in My work application
not_showing_in_my_work_application,Work item created in Rational is not showing in My work app
not_showing_in_my_work_application,Work Item which are created in jira is not visible in My work application
not_showing_in_my_work_application,Features created in Rational is not displayed in My work app
not_showing_in_my_work_application,Features created in JIRA is not displyed in My work application
not_showing_in_my_work_application,Work item created in rational is not in there in My work app
not_showing_in_my_work_application,Work Item created in JIRA are not in the My work app
not_showing_in_my_work_application,I can not see the features that are created in rational in my work app
not_showing_in_my_work_application,I am not able to see the features that are created in jira in my work app
not_showing_in_my_work_application,Features that are created in rational is not showing in my work app
not_showing_in_my_work_application,Features that created in JIRA is not showing in My work app
not_showing_in_my_work_application,Work item that are created in Rational is not showing in My work app
not_showing_in_my_work_application,Work Item that are created in jira is not showing in my work application
not_showing_in_my_work_application,what if features created in jira that isnt showing in my work application
happy_new_year,wish you a very pleasing new year
happy_new_year,wish you and your family a great new year
happy_new_year,may your year be fulfilled with joy
happy_new_year,wish you a great year
happy_new_year,very happy new year
happy_new_year,happy new year hellojio
bot_greets_hello,hey cora
bot_greets_hello,hi cora
bot_greets_hello,hello cora
bot_greets_hello,hi
bot_greets_hello,hello
bot_greets_hello,hi assistant cora
bot_greets_hello,hello there
bot_greets_hello,hello whats up
bot_greets_hello,hey
bot_greets_hello,hey there
bot_greets_hello,hi there
bot_greets_hello,hola whats up
bot_greets_hello,say hello
bot_greets_hello,say hi
bot_greets_hello,wassup
bot_greets_hello,well hello there
bot_greets_hello,whats up
bot_greets_hello,hello dear sir
bot_greets_hello,hay
bot_greets_hello,bot hey
bot_greets_hello,hi bot
bot_greets_hello,heya
bot_greets_hello,yo wassup
bot_greets_hello,whats up my lady
bot_greets_hello,hello my work
bot_greets_hello,whats up my darling
bot_greets_hello,hello my wife
bot_greets_hello,whats up man
bot_greets_hello,whats up girl
bot_greets_hello,whats up dude
bot_greets_hello,whats up bro
bot_greets_hello,what is up with you
bot_greets_hello,wassup with you
bot_greets_hello,wassup my lady
bot_greets_hello,wassup man
bot_greets_hello,wassup lady
bot_greets_hello,wassup girl
bot_greets_hello,howdy babes
bot_greets_hello,howdy babe
bot_greets_hello,hi man
bot_greets_hello,hi lady
bot_greets_hello,hi hello
bot_greets_hello,hi dear
bot_greets_hello,hey whats up man
bot_greets_hello,hey whats up dude
bot_greets_hello,hey whats up bro
bot_greets_hello,hey whats up
bot_greets_hello,hey man
bot_greets_hello,hey baby
bot_greets_hello,hello pagal
bot_greets_hello,hello hello hello
bot_greets_hello,hello dear
bot_greets_hello,hello assistant
how_to_view_direct_reportees_timesheet,how to view direct reportees timesheet
how_to_view_direct_reportees_timesheet,how to see direct reportees timesheet
how_to_view_direct_reportees_timesheet,how can one view direct reportees timesheet
how_to_view_direct_reportees_timesheet,I want to view direct reportees timesheet how can I do that
how_to_view_direct_reportees_timesheet,how can I see direct reportees timesheet
how_to_view_direct_reportees_timesheet,how will I be able to view timesheet of my direct reportees
how_to_view_direct_reportees_timesheet,how to view timesheet of reportees which are directly reporting to me
how_to_view_direct_reportees_timesheet,I want to view timesheet of reportees which are directly reporting to me how can I do that
how_to_view_direct_reportees_timesheet,how to see timesheet of reportees which are directly reporting
how_to_view_direct_reportees_timesheet,how to view timesheet of direct reportees
how_to_view_direct_reportees_timesheet,show me the time sheet of direct reportees
how_to_view_direct_reportees_timesheet,if a direct reportees timesheet viewed
bot_good_day,hope you have a pleasant day
bot_good_day,what a nice day
bot_good_day,i hope you are having a good day
bot_good_day,hope your day goes well
bot_good_day,have a great day ahead
bot_good_day,I just want to say good day to you
bot_good_day,have a good day
bot_good_day,good day
bot_good_day,wish you a good day
who_can_transfer_a_work_item,who can transfer a work item
who_can_transfer_a_work_item,can I transfer a work item
who_can_transfer_a_work_item,who is able to transfer a work item
who_can_transfer_a_work_item,who has the permission to transfer a work item
who_can_transfer_a_work_item,I want to transfer a work item who is authorized to do that
who_can_transfer_a_work_item,who will be able to transfer a work item
who_can_transfer_a_work_item,who is permitted to transfer a work item
who_can_transfer_a_work_item,who could transfer a work item
who_can_transfer_a_work_item,is anybody allowed to transfer work item
who_can_transfer_a_work_item,who can handover a work item
who_can_transfer_a_work_item,who can pass on a work item
what_is_feature_id_already_in_use_error,what is feature id already in use error
what_is_feature_id_already_in_use_error,I am getting an error feature id already in use what is that
what_is_feature_id_already_in_use_error,error is showing as feature id already in use what is that about
what_is_feature_id_already_in_use_error,why I am getting the error feature id already in use
what_is_feature_id_already_in_use_error,for which reason I am getting error feature id already in use
what_is_feature_id_already_in_use_error,what is the error feature id already in use
what_is_feature_id_already_in_use_error,can you tell me about what is error feature id already in use
what_is_feature_id_already_in_use_error,please brief me about feature id already in use error
what_is_feature_id_already_in_use_error,give me some information about error feature id already in use
what_is_feature_id_already_in_use_error,tell me what is the error feature id already in use means
what_is_feature_id_already_in_use_error,what is the meaning of error feature id already in use
what_is_feature_id_already_in_use_error,what is the meaning of feature id already in use error
can_i_apply_for_leaves,does my work allow to mark leaves for future dates
can_i_apply_for_leaves,can we apply for future date leaves
can_i_apply_for_leaves,I want to apply for future date leaves
can_i_apply_for_leaves,is it possible to apply for future date leaves in my work
can_i_apply_for_leaves,can I apply for future date leaves in my work
can_i_apply_for_leaves,in my work can I apply leaves for future date
can_i_apply_for_leaves,need to apply leaves for future date in my work
can_i_apply_for_leaves,should I have authority to apply leaves for future date
can_i_apply_for_leaves,please tell me can we apply for future date leaves in my work
can_i_apply_for_leaves,can I apply leaves for future date from my work
can_i_apply_for_leaves,can we apply for advance leaves in my work
can_i_apply_for_leaves,I want to apply for advance leaves in my work
can_i_apply_for_leaves,is it possible to apply for advance leaves in my work
can_i_apply_for_leaves,can I apply for advance leaves in my work
can_i_apply_for_leaves,in my work can I apply for advance leaves
can_i_apply_for_leaves,need to apply for advance leaves in my work
can_i_apply_for_leaves,should I have authority to apply for advance leaves in my work
can_i_apply_for_leaves,please tell me can we apply for advance leaves in my work
can_i_apply_for_leaves,can advance leaves applied from my work
can_i_apply_for_leaves,is it possible in my work to apply for advance leaves
can_i_apply_for_leaves,am i allowed to apply leaves
can_i_apply_for_leaves,can we apply leaves in advance
can_i_apply_for_leaves,can we apply advance leave
can_i_apply_for_leaves,can we apply future leave
can_i_apply_for_leaves,How to apply for advance leaves in My Work?
can_i_apply_for_leaves,Where can I apply the advance leaves from?
can_i_apply_for_leaves,how to request for advance leaves in my work
can_i_apply_for_leaves,how to appeal for advance leaves in my work
can_i_apply_for_leaves,in my work how one can apply for advance leaves
can_i_apply_for_leaves,if I want to apply for advance leave how can I do that
can_i_apply_for_leaves,please help me to apply for leave in advance using my work
can_i_apply_for_leaves,do you know how to claim advance leaves in my work
can_i_apply_for_leaves,where should I apply for advance leave
can_i_apply_for_leaves,to apply for advance leaves where should I go
can_i_apply_for_leaves,what will be the procedure to apply for advance leave
can_i_apply_for_leaves,where one should go to apply for advance leaves
can_i_apply_for_leaves,what process one must follow to apply advance leaves
can_i_apply_for_leaves,I want to apply for leaves in advance please help me out
can_i_apply_for_leaves,please guide me where should I go to apply for an advance leave
can_i_apply_for_leaves,I want to apply for leaves in advance where can I do that
can_i_apply_for_leaves,I want to apply for advance leave where should I go
can_i_apply_for_leaves,Whom can I apply advance leaves for
can_i_apply_for_leaves,for whom i can apply advance leaves
can_i_apply_for_leaves,can i apply advance leaves for my colleague
can_i_apply_for_leaves,can i apply advance leaves for my friend
can_i_apply_for_leaves,want to apply adavnce leave for my colleague
can_i_apply_for_leaves,is it possible to apply advance leave for my friend
can_i_apply_for_leaves,can I apply advance leave for other employee
can_i_apply_for_leaves,should I have an authority to apply advance leaves for anyone in company
can_i_apply_for_leaves,can I apply advance leave for anyone in company
can_i_apply_for_leaves,how to apply for advance leave of my friend
can_i_apply_for_leaves,Can I apply advance leaves on behalf of my direct reports
can_i_apply_for_leaves,is it applicable for me to apply leaves on behalf of my direct reportees
can_i_apply_for_leaves,is it applicable for me to apply advance leaves on behalf of my direct reportees
can_i_apply_for_leaves,Can I apply advance leaves on behalf of employees reporting to me
can_i_apply_for_leaves,want to apply advance leaves behalf of my reportee
can_i_apply_for_leaves,can i apply advance leaves for employee reporting to me
can_i_apply_for_leaves,want to apply leaves for employees those directly reporting in to you
can_i_apply_for_leaves,for employee those are reporting to me required advance leave can i apply for them
can_i_apply_for_leaves,i want to apply advance leaves for my employees those are reporting to me
can_i_apply_for_leaves,it is possible to apply leaves for employees those are reporting to me
can_i_apply_for_leaves,Can I apply advance leaves on behalf of anybody directly or indirectly reporting in to me?
can_i_apply_for_leaves,is it possible to apply advance leave for anybody indirectly reporting to me?
can_i_apply_for_leaves,will I be able to apply advance leave for my direct or indirect reportees
can_i_apply_for_leaves,want to apply leaves for employees those indirectly reporting to me is it feasible
unable_to_see_work_items,unable to see work items
unable_to_see_work_items,Unable to see work item
unable_to_see_work_items,i am not able to see work items
unable_to_see_work_items,my work items are not reflecting
unable_to_see_work_items,why my work items not reflecting
unable_to_see_work_items,work items are not displaying
unable_to_see_work_items,Unable to see work items after a certain date
unable_to_see_work_items,Unable to see work items after a certain time
unable_to_see_work_items,Unable to see work items after a certain period
unable_to_see_work_items,unable to see work item before certain date and time period
unable_to_see_work_items,work items aren't displaying after sometime
unable_to_see_work_items,some work items aren't there until few days passed
can_i_assign_my_work_items_to_anyone_in_the_software_organisation,can i assign my work items to anyone in the software organisation
can_i_assign_my_work_items_to_anyone_in_the_software_organisation,will i be able to assign my work items to anyone in the software organisation
can_i_assign_my_work_items_to_anyone_in_the_software_organisation,I want to assign my work items to somebody in my organization is this possible
can_i_assign_my_work_items_to_anyone_in_the_software_organisation,is it possible to assign my work items to my collegue
can_i_assign_my_work_items_to_anyone_in_the_software_organisation,can I assign my work items to my subordinate in my company
can_i_assign_my_work_items_to_anyone_in_the_software_organisation,I want to allot my work item to my collegue in the organization will I be able to do it
can_i_assign_my_work_items_to_anyone_in_the_software_organisation,can i allocate my work items to anyone in the software organisation
can_i_assign_my_work_items_to_anyone_in_the_software_organisation,can i give my work items to anyone in the software organisation
can_i_assign_my_work_items_to_anyone_in_the_software_organisation,is it possible to assign my work items to anybody from my organization
can_i_assign_my_work_items_to_anyone_in_the_software_organisation,can i allot my work items to someone in the software organisation
can_i_assign_my_work_items_to_anyone_in_the_software_organisation,can i send my work to another in software industry
bot_compliment_love,love
bot_compliment_love,love you darling
bot_compliment_love,i love you
bot_compliment_love,i have feelings for you
bot_compliment_love,i love
bot_compliment_love,love you
bot_compliment_love,i love u
bot_compliment_love,i love you from bottom of my heart
bot_compliment_love,in search of love
bot_compliment_love,i love you so much
bot_compliment_love,hello i love you
bot_greets_good_night,good night ma'am
bot_greets_good_night,gud nyt
bot_greets_good_night,good night madam
bot_greets_good_night,a very good night
bot_greets_good_night,yaar good night
bot_greets_good_night,good night mate
bot_greets_good_night,bro gud night
bot_greets_good_night,hey good night
bot_greets_good_night,hi gud night
bot_greets_good_night,hi gud night boss
bot_greets_good_night,beautiful good night
bot_greets_good_night,sir hi gud night
bot_greets_good_night,bro hey good night
bot_greets_good_night,darling good night
bot_greets_good_night,good night
bot_greets_good_night,babe good night
bot_greets_good_night,sleep well
bot_greets_good_night,boss gud night
bot_greets_good_night,sweet dreams
bot_greets_good_night,good night bab
bot_greets_good_night,hi good night
bot_greets_good_morning,sir have a great morning
bot_greets_good_morning,sir wishes everyone a beautiful morning
bot_greets_good_morning,have a great good morning
bot_greets_good_morning,have a warm good morning
bot_greets_good_morning,have a amazing morning
bot_greets_good_morning,that your morning is good
bot_greets_good_morning,sir have a superb morning
bot_greets_good_morning,very good morning sir
bot_greets_good_morning,mr wishes pleasant morning
bot_greets_good_morning,sir a very good morning
bot_greets_good_morning,have a magical morning
bot_greets_good_morning,a very good morning to you
bot_greets_good_morning,hope you have a great morning
bot_greets_good_morning,good morning sunny
bot_greets_good_morning,sir wishes to have a beautiful morning
bot_greets_good_morning,have a wonderful morning
bot_greets_good_morning,sir have a fabulous morning
bot_greets_good_morning,happy morning my dear
bot_greets_good_morning,wish you a good morning
bot_greets_good_morning,have a awesome morning
bot_greets_good_morning,hope you have a good morning
bot_greets_good_morning,happy morning
bot_greets_good_morning,have a good morning
bot_greets_good_morning,have a magnificent morning
bot_greets_good_morning,good morning to all
bot_greets_good_morning,greets good morning
bot_greets_good_morning,have a pleasant morning
bot_greets_good_morning,have a great morning
bot_greets_good_morning,good morning my lady
bot_greets_good_morning,good morning to all my listeners
bot_greets_good_morning,hope you are enjoying your morning
bot_greets_good_morning,sir have a beautiful morning
bot_greets_good_morning,hope your morning is good
bot_greets_good_morning,gud morning
bot_greets_good_morning,I wish you have a very good morning
bot_greets_good_morning,sir have a magical morning
bot_greets_good_morning,good morning sir
bot_greets_good_morning,gooood morning
bot_greets_good_morning,good morning
bot_greets_good_morning,have a fabulous morning
bot_greets_good_morning,good morning darling
bot_greets_good_morning,have a fantastic morning
bot_greets_good_morning,hey good morning
bot_greets_good_morning,sir have a mind boggling morning
bot_greets_good_morning,a very happy good morning
bot_greets_good_morning,morning greetings
bot_greets_good_morning,morning sir
bot_greets_good_morning,good morning everyone
bot_greets_good_morning,wishing you a very good morning
bot_greets_good_morning,sir have a awesome morning
bot_greets_good_morning,sir have a amazing morning
bot_greets_good_morning,sir wishes pleasant morning
bot_greets_good_morning,have a beautiful morning
bot_greets_good_morning,have a mind blowing morning
bot_greets_good_morning,have a superb morning
bot_greets_good_morning,wish you have a very happy morning
bot_greets_good_morning,have a lovely morning
bot_greets_good_morning,sir good morning
bot_greets_good_morning,sir have a mind blowing morning
bot_greets_good_morning,wishes everyone a beautiful morning
bot_greets_good_morning,sir have a fantastic morning
bot_greets_good_morning,have a mind boggling morning
bot_greets_good_morning,with a warm heart good morning
bot_greets_good_morning,sir have a magnificent morning
bot_greets_good_morning,pleasant morning
bot_greets_good_morning,sir have a lovely morning
bot_greets_good_morning,goood morning
bot_greets_good_morning,a very good morning
bot_greets_good_morning,good morning my lovely friend
can_i_submit_my_timesheet,when should i submit the timesheet?
can_i_submit_my_timesheet,is it mandatory to submit the weekly timesheet?
can_i_submit_my_timesheet,is there any time limit for submitting the timesheet
can_i_submit_my_timesheet,is it compulsory to submit the weekly timesheet
can_i_submit_my_timesheet,submission of weekly timesheet is mandatory or not
can_i_submit_my_timesheet,when one can submit the timesheet for week
can_i_submit_my_timesheet,is it must for employee to submit the weekly timesheet
can_i_submit_my_timesheet,at what time interval should I submit the timesheet
can_i_submit_my_timesheet,when it is possible to submit the weekly timesheet
can_i_submit_my_timesheet,is submission of timesheet must for employee
can_i_submit_my_timesheet,is it necessory to submit the weekly timesheet?
can_i_submit_my_timesheet,is it essential to submit the timesheet after a week
